# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyZAnalysis/Z_pT
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyZAnalysis/Z_pT
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyZAnalysis/Z_pT
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyZAnalysis/Z_pT
ScaledBy=1.96289088149755986e-01
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.049039e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.049039e+00	1.100484e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.100484e+00	1.154451e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.154451e+00	1.211064e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.211064e+00	1.270454e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.270454e+00	1.332757e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.332757e+00	1.398114e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.398114e+00	1.466677e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.466677e+00	1.538602e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.538602e+00	1.614054e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.614054e+00	1.693207e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.693207e+00	1.776240e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.776240e+00	1.863346e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.863346e+00	1.954724e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.954724e+00	2.050582e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.050582e+00	2.151142e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.151142e+00	2.256632e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.256632e+00	2.367296e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.367296e+00	2.483387e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.483387e+00	2.605171e+00	4.878870e-04	4.878870e-04	4.878870e-04
2.605171e+00	2.732927e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.732927e+00	2.866948e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.866948e+00	3.007542e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.007542e+00	3.155030e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.155030e+00	3.309751e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.309751e+00	3.472059e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.472059e+00	3.642327e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.642327e+00	3.820945e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.820945e+00	4.008322e+00	3.170978e-04	3.170978e-04	3.170978e-04
4.008322e+00	4.204887e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.204887e+00	4.411093e+00	2.881431e-04	2.881431e-04	2.881431e-04
4.411093e+00	4.627410e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.627410e+00	4.854336e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.854336e+00	5.092390e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.092390e+00	5.342118e+00	0.000000e+00	0.000000e+00	0.000000e+00
