# BEGIN PLOT
Legend=1
LogY=1
Title=Wide jet broadening ($E_\mathrm{CMS}=91.2$ GeV)
XLabel=$B_W$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}B_W$
LegendXPos=0.15
LegendYPos=0.6
DrawOnly=/ALEPH_2004_S5765862/d78-x01-y01 //mt/home/mbridge/Work/LEP_Jets/Analysis.yoda/ALEPH_2004_S5765862/d78-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d78-x01-y01 //mt/home/mbridge/Work/LEP_Jets/Analysis.yoda/ALEPH_2004_S5765862/d78-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d78-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d78-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d78-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	8.960000e-02	9.641463e-02	9.641463e-02
1.000000e-02	2.000000e-02	1.297180e+00	2.284343e-01	2.284343e-01
2.000000e-02	3.000000e-02	1.104270e+01	8.989415e-01	8.989415e-01
3.000000e-02	4.000000e-02	1.603947e+01	1.844788e-01	1.844788e-01
4.000000e-02	5.000000e-02	1.319234e+01	1.460011e-01	1.460011e-01
5.000000e-02	6.000000e-02	1.033664e+01	1.161516e-01	1.161516e-01
6.000000e-02	7.000000e-02	8.266840e+00	1.089131e-01	1.089131e-01
7.000000e-02	8.000000e-02	6.705960e+00	1.032801e-01	1.032801e-01
8.000000e-02	9.000000e-02	5.564690e+00	7.640620e-02	7.640620e-02
9.000000e-02	1.000000e-01	4.554390e+00	2.021769e-01	2.021769e-01
1.000000e-01	1.100000e-01	3.859700e+00	1.675433e-01	1.675433e-01
1.100000e-01	1.200000e-01	3.212360e+00	1.454683e-01	1.454683e-01
1.200000e-01	1.300000e-01	2.751900e+00	1.099673e-01	1.099673e-01
1.300000e-01	1.400000e-01	2.340690e+00	9.573401e-02	9.573401e-02
1.400000e-01	1.500000e-01	1.958290e+00	7.849410e-02	7.849410e-02
1.500000e-01	1.600000e-01	1.701600e+00	6.984650e-02	6.984650e-02
1.600000e-01	1.700000e-01	1.428110e+00	6.291827e-02	6.291827e-02
1.700000e-01	1.800000e-01	1.206950e+00	5.070090e-02	5.070090e-02
1.800000e-01	1.900000e-01	1.011450e+00	3.455910e-02	3.455910e-02
1.900000e-01	2.000000e-01	8.395600e-01	3.013657e-02	3.013657e-02
2.000000e-01	2.100000e-01	6.882800e-01	2.301943e-02	2.301943e-02
2.100000e-01	2.200000e-01	5.667400e-01	1.628923e-02	1.628923e-02
2.200000e-01	2.300000e-01	4.488700e-01	1.261432e-02	1.261432e-02
2.300000e-01	2.400000e-01	3.557600e-01	9.449942e-03	9.449942e-03
2.400000e-01	2.500000e-01	2.468500e-01	1.060753e-02	1.060753e-02
2.500000e-01	2.600000e-01	1.678800e-01	8.923351e-03	8.923351e-03
2.600000e-01	2.700000e-01	8.992000e-02	9.214147e-03	9.214147e-03
2.700000e-01	2.800000e-01	3.116000e-02	3.622458e-03	3.622458e-03
2.800000e-01	2.900000e-01	3.750000e-03	5.781003e-04	5.781003e-04
2.900000e-01	3.000000e-01	3.400000e-04	1.029563e-04	1.029563e-04
3.000000e-01	3.100000e-01	5.000000e-05	4.472136e-05	4.472136e-05
# END HISTO1D


# BEGIN HISTO1D //mt/home/mbridge/Work/LEP_Jets/Analysis.yoda/ALEPH_2004_S5765862/d78-x01-y01
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/LEP_Jets/Analysis.yoda/ALEPH_2004_S5765862/d78-x01-y01
ScaledBy=5.94055776320561839e-12
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	2.798379e-02	5.288440e-03	5.288440e-03
1.000000e-02	2.000000e-02	1.383258e+00	3.723505e-02	3.723505e-02
2.000000e-02	3.000000e-02	9.665689e+00	9.830590e-02	9.830590e-02
3.000000e-02	4.000000e-02	1.643770e+01	1.281971e-01	1.281971e-01
4.000000e-02	5.000000e-02	1.416840e+01	1.190406e-01	1.190406e-01
5.000000e-02	6.000000e-02	1.078237e+01	1.038582e-01	1.038582e-01
6.000000e-02	7.000000e-02	8.561765e+00	9.258258e-02	9.258258e-02
7.000000e-02	8.000000e-02	6.845757e+00	8.277733e-02	8.277733e-02
8.000000e-02	9.000000e-02	5.649946e+00	7.518705e-02	7.518705e-02
9.000000e-02	1.000000e-01	4.583747e+00	6.770488e-02	6.770488e-02
1.000000e-01	1.100000e-01	3.838913e+00	6.196647e-02	6.196647e-02
1.100000e-01	1.200000e-01	3.078217e+00	5.547691e-02	5.547691e-02
1.200000e-01	1.300000e-01	2.660438e+00	5.157602e-02	5.157602e-02
1.300000e-01	1.400000e-01	2.166452e+00	4.654151e-02	4.654151e-02
1.400000e-01	1.500000e-01	1.910932e+00	4.375332e-02	4.375332e-02
