# BEGIN PLOT
Legend=1
LogY=1
Title=Durham jet resolution $4 \to 3$ ($E_\mathrm{CMS}=91.2$ GeV)
XLabel=$-\ln(y_{34})$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}\ln(y_{34})$
LegendXPos=0.25
LegendYPos=0.4
DrawOnly=/ALEPH_2004_S5765862/d165-x01-y01 //mt/home/mbridge/Work/LEP_Jets/Analysis.yoda/ALEPH_2004_S5765862/d165-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d165-x01-y01 //mt/home/mbridge/Work/LEP_Jets/Analysis.yoda/ALEPH_2004_S5765862/d165-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d165-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d165-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d165-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+00	2.200000e+00	1.300000e-04	5.744563e-05	5.744563e-05
2.200000e+00	2.400000e+00	4.700000e-04	1.805547e-04	1.805547e-04
2.400000e+00	2.600000e+00	1.100000e-03	2.389561e-04	2.389561e-04
2.600000e+00	2.800000e+00	2.510000e-03	4.913247e-04	4.913247e-04
2.800000e+00	3.000000e+00	5.190000e-03	5.148786e-04	5.148786e-04
3.000000e+00	3.200000e+00	8.610000e-03	2.988311e-04	2.988311e-04
3.200000e+00	3.400000e+00	1.304000e-02	7.017834e-04	7.017834e-04
3.400000e+00	3.600000e+00	1.826000e-02	8.868484e-04	8.868484e-04
3.600000e+00	3.800000e+00	2.475000e-02	1.198207e-03	1.198207e-03
3.800000e+00	4.000000e+00	3.261000e-02	1.567195e-03	1.567195e-03
4.000000e+00	4.200000e+00	4.130000e-02	2.947898e-03	2.947898e-03
4.200000e+00	4.400000e+00	5.349000e-02	3.093542e-03	3.093542e-03
4.400000e+00	4.600000e+00	6.386000e-02	3.668133e-03	3.668133e-03
4.600000e+00	4.800000e+00	7.946000e-02	5.067406e-03	5.067406e-03
4.800000e+00	5.000000e+00	9.711000e-02	5.700509e-03	5.700509e-03
5.000000e+00	5.200000e+00	1.176300e-01	7.411053e-03	7.411053e-03
5.200000e+00	5.400000e+00	1.415000e-01	7.255660e-03	7.255660e-03
5.400000e+00	5.600000e+00	1.723600e-01	8.887497e-03	8.887497e-03
