# BEGIN PLOT
Legend=1
LogY=1
Title=Thust ($E_\mathrm{CMS}=91.2$ GeV)
XLabel=$T$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}T$
LegendYPos=0.6
DrawOnly=/ALEPH_2004_S5765862/d54-x01-y01 //mt/home/mbridge/Work/e+e-/Analysis.yoda/ALEPH_2004_S5765862/d54-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d54-x01-y01 //mt/home/mbridge/Work/e+e-/Analysis.yoda/ALEPH_2004_S5765862/d54-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d54-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d54-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d54-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.800000e-01	5.900000e-01	1.150000e-03	7.034913e-04	7.034913e-04
5.900000e-01	6.000000e-01	2.290000e-03	1.239919e-03	1.239919e-03
6.000000e-01	6.100000e-01	3.500000e-03	1.459109e-03	1.459109e-03
6.100000e-01	6.200000e-01	8.390000e-03	2.098690e-03	2.098690e-03
6.200000e-01	6.300000e-01	1.283000e-02	2.962769e-03	2.962769e-03
6.300000e-01	6.400000e-01	2.148000e-02	4.714075e-03	4.714075e-03
6.400000e-01	6.500000e-01	4.330000e-02	6.244950e-03	6.244950e-03
6.500000e-01	6.600000e-01	6.556000e-02	6.009276e-03	6.009276e-03
6.600000e-01	6.700000e-01	1.028400e-01	8.752994e-03	8.752994e-03
6.700000e-01	6.800000e-01	1.257500e-01	1.091064e-02	1.091064e-02
6.800000e-01	6.900000e-01	1.639600e-01	1.430206e-02	1.430206e-02
6.900000e-01	7.000000e-01	1.841600e-01	1.742620e-02	1.742620e-02
7.000000e-01	7.100000e-01	2.142400e-01	1.638045e-02	1.638045e-02
7.100000e-01	7.200000e-01	2.481400e-01	2.248508e-02	2.248508e-02
7.200000e-01	7.300000e-01	2.942700e-01	2.216764e-02	2.216764e-02
7.300000e-01	7.400000e-01	3.434700e-01	2.127054e-02	2.127054e-02
7.400000e-01	7.500000e-01	3.653600e-01	2.202020e-02	2.202020e-02
7.500000e-01	7.600000e-01	4.308800e-01	2.598731e-02	2.598731e-02
7.600000e-01	7.700000e-01	4.692300e-01	2.280821e-02	2.280821e-02
7.700000e-01	7.800000e-01	5.458400e-01	2.266312e-02	2.266312e-02
7.800000e-01	7.900000e-01	5.994200e-01	2.488441e-02	2.488441e-02
7.900000e-01	8.000000e-01	6.608700e-01	3.667907e-02	3.667907e-02
8.000000e-01	8.100000e-01	7.680000e-01	3.514610e-02	3.514610e-02
8.100000e-01	8.200000e-01	8.570000e-01	3.721069e-02	3.721069e-02
8.200000e-01	8.300000e-01	9.807900e-01	4.971296e-02	4.971296e-02
8.300000e-01	8.400000e-01	1.112700e+00	5.514273e-02	5.514273e-02
8.400000e-01	8.500000e-01	1.270350e+00	6.249665e-02	6.249665e-02
8.500000e-01	8.600000e-01	1.439390e+00	5.455653e-02	5.455653e-02
8.600000e-01	8.700000e-01	1.639380e+00	6.529254e-02	6.529254e-02
8.700000e-01	8.800000e-01	1.934590e+00	7.593196e-02	7.593196e-02
8.800000e-01	8.900000e-01	2.230020e+00	7.617657e-02	7.617657e-02
8.900000e-01	9.000000e-01	2.630720e+00	8.421373e-02	8.421373e-02
9.000000e-01	9.100000e-01	3.062140e+00	1.020791e-01	1.020791e-01
9.100000e-01	9.200000e-01	3.702120e+00	8.299341e-02	8.299341e-02
9.200000e-01	9.300000e-01	4.547090e+00	1.035482e-01	1.035482e-01
9.300000e-01	9.400000e-01	5.644640e+00	1.255609e-01	1.255609e-01
9.400000e-01	9.500000e-01	7.277220e+00	1.236035e-01	1.236035e-01
9.500000e-01	9.600000e-01	9.629520e+00	1.664953e-01	1.664953e-01
9.600000e-01	9.700000e-01	1.360396e+01	2.248791e-01	2.248791e-01
9.700000e-01	9.800000e-01	1.856511e+01	6.899878e-01	6.899878e-01
9.800000e-01	9.900000e-01	1.288646e+01	5.280345e-01	5.280345e-01
9.900000e-01	1.000000e+00	1.311860e+00	2.015322e-01	2.015322e-01
# END HISTO1D


# BEGIN HISTO1D //mt/home/mbridge/Work/e+e-/Analysis.yoda/ALEPH_2004_S5765862/d54-x01-y01
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/e+e-/Analysis.yoda/ALEPH_2004_S5765862/d54-x01-y01
ScaledBy=5.93892007962991086e-11
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
5.800000e-01	5.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.900000e-01	6.000000e-01	9.991457e-03	9.991457e-03	9.991457e-03
6.000000e-01	6.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.100000e-01	6.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.200000e-01	6.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.300000e-01	6.400000e-01	4.995728e-02	2.234158e-02	2.234158e-02
6.400000e-01	6.500000e-01	2.997437e-02	1.730571e-02	1.730571e-02
6.500000e-01	6.600000e-01	9.991457e-02	3.159576e-02	3.159576e-02
6.600000e-01	6.700000e-01	8.992311e-02	2.997437e-02	2.997437e-02
6.700000e-01	6.800000e-01	1.398804e-01	3.738461e-02	3.738461e-02
6.800000e-01	6.900000e-01	1.099060e-01	3.313791e-02	3.313791e-02
6.900000e-01	7.000000e-01	1.398804e-01	3.738461e-02	3.738461e-02
7.000000e-01	7.100000e-01	1.898377e-01	4.355175e-02	4.355175e-02
7.100000e-01	7.200000e-01	2.397950e-01	4.894794e-02	4.894794e-02
7.200000e-01	7.300000e-01	2.797608e-01	5.286982e-02	5.286982e-02
7.300000e-01	7.400000e-01	2.797608e-01	5.286982e-02	5.286982e-02
7.400000e-01	7.500000e-01	4.196412e-01	6.475204e-02	6.475204e-02
7.500000e-01	7.600000e-01	3.796754e-01	6.159148e-02	6.159148e-02
7.600000e-01	7.700000e-01	3.796754e-01	6.159148e-02	6.159148e-02
7.700000e-01	7.800000e-01	3.896668e-01	6.239663e-02	6.239663e-02
7.800000e-01	7.900000e-01	4.396241e-01	6.627583e-02	6.627583e-02
7.900000e-01	8.000000e-01	5.795045e-01	7.609267e-02	7.609267e-02
