# BEGIN PLOT
Legend=1
LogY=1
Title=PDF sampling $x_\mathrm{min}$ value distribution
XLabel=$x_\mathrm{min}$
YLabel=$1/N_\mathrm{evt} \  \mathrm{d}N_\mathrm{evt}/\mathrm{d}x$
LogX=1
FullRange=1
LegendXPos=0.1
LegendYPos=0.5
DrawOnly=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_PDFS/PdfXmin
LegendOnly=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_PDFS/PdfXmin
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_PDFS/PdfXmin
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_PDFS/PdfXmin
ScaledBy=5.66979518237617088e-11
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e-06	1.318257e-06	0.000000e+00	0.000000e+00	0.000000e+00
1.318257e-06	1.737801e-06	0.000000e+00	0.000000e+00	0.000000e+00
1.737801e-06	2.290868e-06	0.000000e+00	0.000000e+00	0.000000e+00
2.290868e-06	3.019952e-06	0.000000e+00	0.000000e+00	0.000000e+00
3.019952e-06	3.981072e-06	0.000000e+00	0.000000e+00	0.000000e+00
3.981072e-06	5.248075e-06	0.000000e+00	0.000000e+00	0.000000e+00
5.248075e-06	6.918310e-06	9.308355e+01	3.875139e+00	3.875139e+00
6.918310e-06	9.120108e-06	1.995364e+02	4.590424e+00	4.590424e+00
9.120108e-06	1.202264e-05	1.628388e+02	3.497481e+00	3.497481e+00
1.202264e-05	1.584893e-05	1.372897e+02	2.766119e+00	2.766119e+00
1.584893e-05	2.089296e-05	1.142137e+02	2.163431e+00	2.163431e+00
2.089296e-05	2.754229e-05	8.946646e+01	1.651631e+00	1.651631e+00
2.754229e-05	3.630781e-05	7.144848e+01	1.278344e+00	1.278344e+00
3.630781e-05	4.786301e-05	5.440294e+01	9.702449e-01	9.702449e-01
4.786301e-05	6.309573e-05	4.386693e+01	7.588118e-01	7.588118e-01
6.309573e-05	8.317638e-05	3.338597e+01	5.765636e-01	5.765636e-01
8.317638e-05	1.096478e-04	2.685918e+01	4.504140e-01	4.504140e-01
1.096478e-04	1.445440e-04	2.019711e+01	3.401807e-01	3.401807e-01
1.445440e-04	1.905461e-04	1.580789e+01	2.621212e-01	2.621212e-01
1.905461e-04	2.511886e-04	1.504463e+01	2.227186e-01	2.227186e-01
2.511886e-04	3.311311e-04	1.533672e+01	1.958536e-01	1.958536e-01
3.311311e-04	4.365158e-04	1.197371e+01	1.507231e-01	1.507231e-01
4.365158e-04	5.754399e-04	9.511877e+00	1.170034e-01	1.170034e-01
5.754399e-04	7.585776e-04	7.307207e+00	8.931839e-02	8.931839e-02
7.585776e-04	1.000000e-03	5.757585e+00	6.905348e-02	6.905348e-02
1.000000e-03	1.318257e-03	4.365686e+00	5.237107e-02	5.237107e-02
1.318257e-03	1.737801e-03	3.377484e+00	4.012009e-02	4.012009e-02
1.737801e-03	2.290868e-03	2.793454e+00	3.177868e-02	3.177868e-02
2.290868e-03	3.019952e-03	2.261108e+00	2.490153e-02	2.490153e-02
3.019952e-03	3.981072e-03	1.743102e+00	1.904262e-02	1.904262e-02
3.981072e-03	5.248075e-03	1.323225e+00	1.445048e-02	1.445048e-02
5.248075e-03	6.918310e-03	1.040998e+00	1.116324e-02	1.116324e-02
6.918310e-03	9.120108e-03	7.988503e-01	8.517223e-03	8.517223e-03
9.120108e-03	1.202264e-02	6.194922e-01	6.532561e-03	6.532561e-03
1.202264e-02	1.584893e-02	4.809055e-01	5.012969e-03	5.012969e-03
1.584893e-02	2.089296e-02	3.748729e-01	3.854848e-03	3.854848e-03
2.089296e-02	2.754229e-02	2.959167e-01	2.982977e-03	2.982977e-03
2.754229e-02	3.630781e-02	2.286046e-01	2.283535e-03	2.283535e-03
3.630781e-02	4.786301e-02	1.896449e-01	1.811490e-03	1.811490e-03
4.786301e-02	6.309573e-02	1.638775e-01	1.466645e-03	1.466645e-03
6.309573e-02	8.317638e-02	1.685329e-01	1.295411e-03	1.295411e-03
8.317638e-02	1.096478e-01	2.983095e-01	1.501073e-03	1.501073e-03
1.096478e-01	1.445440e-01	7.413481e+00	6.517685e-03	6.517685e-03
1.445440e-01	1.905461e-01	7.753479e+00	5.805424e-03	5.805424e-03
1.905461e-01	2.511886e-01	7.368614e-01	1.558722e-03	1.558722e-03
2.511886e-01	3.311311e-01	3.600044e-01	9.489660e-04	9.489660e-04
3.311311e-01	4.365158e-01	1.775800e-01	5.804859e-04	5.804859e-04
4.365158e-01	5.754399e-01	8.881432e-02	3.575501e-04	3.575501e-04
5.754399e-01	7.585776e-01	9.828178e-02	3.275698e-04	3.275698e-04
7.585776e-01	1.000000e+00	8.650237e-01	8.474715e-04	8.474715e-04
# END HISTO1D

